Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90502,"Torrance, West Carson","$775,181 ","$752,170 ","$581,126 ","$569,745 ","$638,550 ","$531,145 "
90503,Torrance,"$1,271,535 ","$1,217,944 ","$951,791 ","$947,114 ","$1,026,669 ","$911,208 "
90504,Torrance,"$923,977 ","$922,859 ","$737,848 ","$734,688 ","$801,164 ","$688,660 "
90505,Torrance,"$1,362,129 ","$1,322,236 ","$1,024,241 ","$1,008,823 ","$1,097,230 ","$964,001 "
90601,"City of Industry, Whittier","$781,547 ","$753,702 ","$602,175 ","$595,791 ","$659,110 ","$562,646 "
90602,Whittier,"$771,046 ","$733,063 ","$571,109 ","$567,003 ","$638,151 ","$541,430 "
90603,Whittier,"$817,127 ","$792,848 ","$615,915 ","$609,887 ","$679,039 ","$592,831 "
90604,"East La Mirada, South Whittier, Whittier","$767,396 ","$738,435 ","$569,648 ","$565,823 ","$638,071 ","$542,923 "
90605,"South Whittier, Whittier","$717,170 ","$687,852 ","$531,263 ","$528,212 ","$592,683 ","$501,027 "
90606,West Whittier-Los Nietos,"$672,867 ","$646,158 ","$502,002 ","$494,047 ","$561,260 ","$467,939 "
90638,La Mirada,"$821,560 ","$788,157 ","$613,090 ","$614,327 ","$677,759 ","$587,530 "
90640,Montebello,"$725,527 ","$707,920 ","$572,262 ","$563,020 ","$634,055 ","$531,878 "
90650,Norwalk,"$673,885 ","$645,903 ","$498,803 ","$491,579 ","$553,198 ","$466,114 "
90660,Pico Rivera,"$663,663 ","$638,931 ","$501,884 ","$491,527 ","$555,547 ","$464,981 "
90670,Santa Fe Springs,"$686,598 ","$659,159 ","$515,007 ","$502,081 ","$570,818 ","$476,207 "
90701,Artesia,"$756,305 ","$736,774 ","$576,064 ","$573,205 ","$646,173 ","$544,403 "
90703,Cerritos,"$961,083 ","$937,559 ","$749,151 ","$752,850 ","$812,236 ","$732,410 "
90704,"Avalon, Santa Catalina Island","$889,705 ","$878,902 ","$900,507 ","$941,862 ","$901,470 ","$823,027 "
90706,Bellflower,"$719,271 ","$689,042 ","$541,922 ","$536,254 ","$603,302 ","$508,190 "
90710,Harbor City,"$849,182 ","$817,947 ","$636,825 ","$613,521 ","$703,168 ","$593,081 "
90712,Lakewood,"$791,923 ","$779,662 ","$594,516 ","$588,750 ","$666,681 ","$564,762 "
90713,Lakewood,"$821,710 ","$801,114 ","$615,097 ","$608,339 ","$688,851 ","$586,808 "
90715,Lakewood,"$771,248 ","$745,292 ","$570,420 ","$565,705 ","$646,173 ","$540,450 "
90716,Hawaiian Gardens,"$643,815 ","$614,515 ","$485,406 ","$460,886 ","$548,054 ","$430,229 "
90717,Lomita,"$889,101 ","$897,984 ","$701,911 ","$689,349 ","$784,929 ","$653,832 "
90723,Paramount,"$620,941 ","$595,083 ","$481,277 ","$465,332 ","$522,742 ","$441,073 "
90731,"San Pedro, Terminal Island","$851,643 ","$819,833 ","$642,726 ","$622,566 ","$706,387 ","$601,840 "
90732,"San Pedro, Rancho Palos Verdes","$1,020,671 ","$966,480 ","$774,167 ","$762,899 ","$840,040 ","$731,613 "
90744,Wilmington,"$646,959 ","$634,598 ","$484,354 ","$472,781 ","$538,646 ","$440,067 "
90745,Carson,"$730,979 ","$706,668 ","$557,037 ","$542,690 ","$613,166 ","$507,514 "
90746,Carson,"$810,208 ","$771,394 ","$605,109 ","$579,161 ","$669,877 ","$543,869 "
90755,Signal Hill,"$860,532 ","$856,966 ","$678,988 ","$671,416 ","$731,600 ","$643,329 "
90802,Long Beach,"$580,055 ","$567,360 ","$474,485 ","$450,426 ","$513,436 ","$417,845 "
90803,"Long Beach Belmont Shore, Marina, Naples","$1,459,497 ","$1,401,733 ","$1,120,531 ","$1,117,148 ","$1,199,790 ","$1,078,721 "
90804,Long Beach East Long Beach,"$801,237 ","$774,340 ","$592,929 ","$584,155 ","$664,540 ","$554,735 "
90805,Long Beach North Long Beach,"$655,355 ","$639,308 ","$491,169 ","$477,465 ","$545,012 ","$446,754 "
90806,Long Beach,"$730,375 ","$720,168 ","$565,749 ","$551,231 ","$614,381 ","$514,361 "
90807,Long Beach Bixby Knolls,"$926,169 ","$924,176 ","$702,085 ","$706,228 ","$784,464 ","$675,914 "
90808,Long Beach,"$925,976 ","$905,139 ","$693,766 ","$692,962 ","$774,480 ","$674,468 "
90810,"Carson, Long Beach","$664,687 ","$641,134 ","$498,312 ","$477,850 ","$551,786 ","$446,934 "
