Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2021,Dec,7912967(R),63.2(R),59.4(R),5001852(R),4701620(R),300232(R),6.0(R)
2022,Jan,7910056(R),63.7(R),59.5(R),5035535(R),4707533(R),328002(R),6.5(R)
2022,Feb,7906452(R),64.1(R),60.4(R),5065387(R),4772698(R),292689(R),5.8(R)
2022,Mar,7903120(R),63.9(R),60.6(R),5051030(R),4790465(R),260565(R),5.2(R)
2022,Apr,7900075(R),63.3(R),60.3(R),5000847(R),4761695(R),239152(R),4.8(R)
2022,May,7896749(R),63.2(R),60.3(R),4987130(R),4763298(R),223832(R),4.5(R)
2022,Jun,7893405(R),62.5(R),59.5(R),4935287(R),4694769(R),240518(R),4.9(R)
2022,Jul,7890088(R),62.8(R),59.8(R),4957468(R),4716142(R),241326(R),4.9(R)
2022,Aug,7886536(R),62.5(R),59.6(R),4927912(R),4697244(R),230668(R),4.7(R)
2022,Sep,7882998(R),62.9(R),60.2(R),4958064(R),4744505(R),213559(R),4.3(R)
2022,Oct,7879433(R),62.8(R),59.9(R),4947566(R),4723562(R),224004(R),4.5(R)
2022,Nov,7875618(R),63.3(R),60.4(R),4986416(R),4760132(R),226284(R),4.5(R)
2022,Dec,7872064(R),63.1(R),60.3(R),4965511(R),4747043(R),218468(R),4.4(R)
2023,Jan,7868810,63.3,60.2,4982143,4736443,245700,4.9
2023,Feb,7864804,64.1(P),60.7(P),5042749(P),4777500(P),265249(P),5.3(P)
